opcode 836, rd 28, rt 28, rn 28, rm 0, shamt 16, aluimm 16, dtaddr 4, condaddr 540, braddr 16794524
opcode 1984, rd 19, rt 19, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 28, braddr 915
opcode 1984, rd 20, rt 20, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 1052, braddr 33684
opcode 580, rd 19, rt 19, rn 31, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 31, braddr 16778227
opcode 580, rd 20, rt 20, rn 31, rm 8, shamt 0, aluimm 512, dtaddr 128, condaddr 16415, braddr 17302516
opcode 580, rd 0, rt 0, rn 19, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 19, braddr 16777824
opcode 580, rd 1, rt 1, rn 20, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 20, braddr 16777857
opcode 37, rd 8, rt 8, rn 0, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 0, braddr 8
opcode 580, rd 0, rt 0, rn 19, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 19, braddr 16777824
opcode 580, rd 1, rt 1, rn 20, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 20, braddr 16777857
opcode 37, rd 1, rt 1, rn 1, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 1, braddr 33
opcode 1986, rd 19, rt 19, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131100, braddr 4195219
opcode 1986, rd 20, rt 20, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 132124, braddr 4227988
opcode 580, rd 28, rt 28, rn 28, rm 0, shamt 16, aluimm 16, dtaddr 4, condaddr 540, braddr 16794524
opcode 5, rd 8, rt 8, rn 4, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 4, braddr 136
opcode 580, rd 9, rt 9, rn 31, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 31, braddr 16778217
opcode 580, rd 10, rt 10, rn 1, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 33, braddr 16778282
opcode 1690, rd 10, rt 10, rn 10, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 131114, braddr -12581558
opcode 1690, rd 11, rt 11, rn 1, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 131105, braddr -12581845
opcode 964, rd 31, rt 31, rn 1, rm 0, shamt 2, aluimm 2, dtaddr 0, condaddr 65, braddr 16779327
opcode 84, rd 11, rt 11, rn 17, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 17, braddr 555
opcode 1880, rd 31, rt 31, rn 9, rm 11, shamt 0, aluimm 704, dtaddr 176, condaddr 22537, braddr -16056001
opcode 84, rd 10, rt 10, rn 15, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 15, braddr 490
opcode 580, rd 12, rt 12, rn 9, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 41, braddr 16778540
opcode 1624, rd 12, rt 12, rn 10, rm 12, shamt 0, aluimm 768, dtaddr 192, condaddr 24586, braddr -15990452
opcode 1691, rd 12, rt 12, rn 12, rm 0, shamt 3, aluimm -2045, dtaddr 0, condaddr 196716, braddr -10482292
opcode 1112, rd 12, rt 12, rn 12, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 12, braddr -16776820
opcode 1691, rd 13, rt 13, rn 9, rm 0, shamt 1, aluimm -2047, dtaddr 0, condaddr 196649, braddr -10484435
opcode 1984, rd 13, rt 13, rn 12, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 12, braddr 397
opcode 1112, rd 12, rt 12, rn 10, rm 9, shamt 0, aluimm 576, dtaddr 144, condaddr 18442, braddr -16187060
opcode 1691, rd 12, rt 12, rn 12, rm 0, shamt 3, aluimm -2045, dtaddr 0, condaddr 196716, braddr -10482292
opcode 1112, rd 12, rt 12, rn 12, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 12, braddr -16776820
opcode 1691, rd 13, rt 13, rn 9, rm 0, shamt 1, aluimm -2047, dtaddr 0, condaddr 196649, braddr -10484435
opcode 580, rd 13, rt 13, rn 13, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 45, braddr 16778669
opcode 1984, rd 13, rt 13, rn 12, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 12, braddr 397
opcode 580, rd 9, rt 9, rn 9, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 41, braddr 16778537
opcode 5, rd 17, rt 17, rn 31, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -1, braddr -15
opcode 968, rd 12, rt 12, rn 1, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 33, braddr -33553364
opcode 180, rd 12, rt 12, rn 4, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 4, braddr 140
